Span Loc(m)	Chord(m)	IB Height(m)	IB Width(m)	Web Height(m)	Web Width(m)	IB Area(m2)	Moment(Nm)	Wing Weight(N/m)
0.530000	3.998595	0.299895	0.531813	0.295895	0.001000	0.002423	3983.602216	138.952918
0.532000	3.998585	0.299894	0.531812	0.295894	0.001000	0.002423	3982.636017	138.952548
0.534000	3.998574	0.299893	0.531810	0.295893	0.001000	0.002423	3981.669945	138.952177
0.536000	3.998563	0.299892	0.531809	0.295892	0.001000	0.002423	3980.704000	138.951805
0.538000	3.998553	0.299891	0.531807	0.295891	0.001000	0.002423	3979.738182	138.951431
0.540000	3.998542	0.299891	0.531806	0.295891	0.001000	0.002423	3978.772492	138.951056
0.542000	3.998531	0.299890	0.531805	0.295890	0.001000	0.002423	3977.806929	138.950680
0.544000	3.998520	0.299889	0.531803	0.295889	0.001000	0.002423	3976.841493	138.950302
0.546000	3.998509	0.299888	0.531802	0.295888	0.001000	0.002423	3975.876185	138.949923
0.548000	3.998498	0.299887	0.531800	0.295887	0.001000	0.002423	3974.911003	138.949542
0.550000	3.998487	0.299887	0.531799	0.295887	0.001000	0.002423	3973.945949	138.949160
0.552000	3.998476	0.299886	0.531797	0.295886	0.001000	0.002423	3972.981023	138.948777
0.554000	3.998465	0.299885	0.531796	0.295885	0.001000	0.002423	3972.016223	138.948392
0.556000	3.998454	0.299884	0.531794	0.295884	0.001000	0.002423	3971.051551	138.948006
0.558000	3.998443	0.299883	0.531793	0.295883	0.001000	0.002423	3970.087006	138.947618
0.560000	3.998432	0.299882	0.531791	0.295882	0.001000	0.002423	3969.122589	138.947229
0.562000	3.998420	0.299882	0.531790	0.295882	0.001000	0.002423	3968.158298	138.946839
0.564000	3.998409	0.299881	0.531788	0.295881	0.001000	0.002423	3967.194135	138.946447
0.566000	3.998398	0.299880	0.531787	0.295880	0.001000	0.002423	3966.230100	138.946054
0.568000	3.998387	0.299879	0.531785	0.295879	0.001000	0.002423	3965.266191	138.945660
0.570000	3.998375	0.299878	0.531784	0.295878	0.001000	0.002423	3964.302410	138.945264
0.572000	3.998364	0.299877	0.531782	0.295877	0.001000	0.002423	3963.338756	138.944866
0.574000	3.998352	0.299876	0.531781	0.295876	0.001000	0.002423	3962.375229	138.944468
0.576000	3.998341	0.299876	0.531779	0.295876	0.001000	0.002423	3961.411830	138.944068
0.578000	3.998329	0.299875	0.531778	0.295875	0.001000	0.002423	3960.448558	138.943666
0.580000	3.998318	0.299874	0.531776	0.295874	0.001000	0.002423	3959.485413	138.943263
0.582000	3.998306	0.299873	0.531775	0.295873	0.001000	0.002423	3958.522395	138.942859
